Starbucks,Nearby Cafes
2.130434782608696,0.0
1.7,0.0
1.5277777777777777,0.0
2.7570621468926553,0.0
3.033333333333333,0.002150537634408602
2.8128654970760234,0.0
1.0982142857142858,0.0
3.7916666666666665,0.0
1.7857142857142858,0.0
1.9660056657223797,0.0
2.1447368421052633,0.0
2.911764705882353,0.0
1.8541666666666667,0.0
1.9142857142857144,0.0
2.4364406779661016,0.0
1.9557522123893805,0.0
1.7407407407407407,0.0
1.8709677419354838,0.0
1.5555555555555556,0.0
1.2580645161290323,0.0
2.2155172413793105,0.0
1.25,0.0
1.9383561643835616,0.0
1.803921568627451,0.0
1.898989898989899,0.0
1.28,0.0
2.25,0.0
2.223684210526316,0.0
1.625,0.0
1.6111111111111112,0.0
1.16,0.0
1.2369668246445498,0.0
2.111111111111111,0.0
3.2435897435897436,0.0
2.142857142857143,0.0
1.9533678756476685,0.0
1.880952380952381,0.0
3.0168067226890756,0.0
1.7761194029850746,0.0
1.35,0.0
1.8450704225352113,0.0
1.6666666666666667,0.0
1.9565217391304348,0.0
2.336322869955157,0.0
1.7413793103448276,0.0
2.526315789473684,0.0
1.0,0.0
3.3794642857142856,0.0
1.7261904761904763,0.0
1.3888888888888888,0.0
1.5333333333333334,0.0
